Orthogroup,MpTak_v6.1r1.protein,Athaliana_447_Araport11.protein
OG0002834,"Mp1g22090.1, Mp1g22090.2","AT5G13970, AT5G13310"
OG0002836,Mp7g02860.1,"AT5G07830, AT5G61250"
OG0002837,"Mp3g12200.1, Mp3g12200.2, Mp3g12200.3, Mp3g12200.4, Mp3g12210.1",AT5G43860
OG0002838,Mp3g04200.1,AT5G50810
OG0002839,Mp8g17290.1,"AT5G64000, AT5G09290, AT5G63990, AT5G63980"
OG0002840,"Mp2g11230.1, Mp2g11230.2","AT5G43120, AT5G10200"
OG0002841,"Mp5g06710.1, Mp2g10710.1",AT5G49400
OG0002842,Mp2g09940.1,"AT5G07920, AT5G63770"
OG0002845,Mp7g12690.1,"AT5G57840, AT5G48930"
OG0002846,Mp3g03700.1,"AT5G24170, AT5G23550"
OG0002847,"Mp3g07160.1, Mp2g18520.1, Mp7g01430.1",AT5G13700
OG0002848,"Mp2g01420.1, Mp5g03920.1",AT5G19730
OG0002849,Mp7g14670.1,AT5G24400
OG0002851,"Mp5g01420.2, Mp5g01420.1",AT5G16940
OG0002855,Mp4g22430.1,"AT5G61620, AT5G47390"
OG0002857,Mp5g23030.1,"AT5G47720, AT5G48230"
OG0002858,Mp1g06900.1,AT5G48385
OG0002859,"Mp1g02350.3, Mp1g02350.1, Mp1g02350.2",AT5G11170
OG0002860,"Mp2g23980.2, Mp2g23980.1, Mp2g23980.3, Mp4g04970.1",AT5G22300
OG0002862,"Mp5g17380.1, Mp8g05420.1, Mp2g22920.1, Mp8g02480.1, Mp8g10060.1, Mp8g10060.3",AT5G46330
OG0002863,Mp5g14770.1,AT5G35980
OG0002864,Mp7g13990.1,AT5G57500
OG0002865,Mp4g04500.1,AT5G18670
OG0002866,Mp1g15460.1,"AT5G39520, AT5G39530"
OG0002867,Mp7g05650.1,AT5G56360
OG0002868,"Mp1g04840.1, Mp1g04840.2, Mp1g04840.3, Mp1g03080.1, Mp1g03080.2",AT5G60620
OG0002869,Mp5g07670.1,AT5G58060
OG0002870,Mp3g08960.1,AT5G50850
OG0002871,"Mp7g12230.1, Mp7g12230.2","AT5G42770, AT5G66550"
OG0002872,"Mp3g05520.2, Mp3g05520.1, Mp3g05520.3","AT5G23490, AT5G08440"
OG0002875,"Mp3g12060.2, Mp3g12060.1, Mp3g12060.4, Mp3g12060.3",AT5G03415
OG0002877,"Mp1g11980.2, Mp1g11980.1",AT5G46110
OG0002879,"Mp4g17780.1, Mp3g22910.1",AT5G36880
OG0002881,Mp6g14300.1,AT5G27660
OG0002915,Mp2g16280.1,ATCG00270
OG0002916,Mp5g22240.1,"AT2G24490, AT3G02920"
OG0002917,Mp8g11720.1,"AT1G31340, AT2G35635"
OG0002918,"Mp4g19270.3, Mp4g19270.1, Mp4g19270.4, Mp4g19270.2",AT2G37195
OG0002919,"Mp8g08470.1, Mp8g08470.2, Mp8g08470.3",AT2G26990
OG0002920,Mp7g18070.1,"AT2G16930, AT5G15220"
OG0002922,"Mp5g12010.2, Mp5g12010.1",AT2G32950
OG0002925,Mp1g26960.1,"AT3G02190, AT4G31985, AT2G25210"
OG0002926,"Mp3g21670.1, Mp3g21670.2","AT2G36260, AT2G16710"
OG0002928,Mp8g02370.1,"AT2G25270, AT2G12400"
OG0002929,"Mp2g14390.2, Mp2g14390.1","AT3G61700, AT2G46420"
OG0002931,"Mp3g02910.2, Mp3g02910.1",AT2G04900
OG0002933,"Mp1g19830.1, Mp1g19830.2",AT2G46200
OG0002934,Mp2g08380.1,AT2G40290
OG0002935,Mp7g06500.1,AT2G43990
OG0002937,"Mp4g19030.1, Mp4g19030.3, Mp4g19030.2, Mp4g19030.4",AT2G43210
OG0002938,Mp2g22010.1,AT2G14910
OG0002939,Mp5g18090.1,"AT5G67430, AT2G23060, AT4G37580"
OG0002940,Mp6g11050.1,AT2G47470
OG0002941,"Mp3g10030.1, Mp3g10020.1, Mp1g14110.1","AT4G37900, AT2G22660"
OG0002943,"Mp1g04430.2, Mp1g04430.1","AT2G34110, AT1G34355"
OG0002944,"Mp8g16950.1, Mp8g15350.1","AT2G41730, AT5G24640, AT3G27355, AT5G40690"
OG0002946,Mp1g16760.1,"AT2G01280, AT3G09360, AT2G45100"
OG0002949,"Mp5g08510.3, Mp5g08510.2, Mp5g08510.1","AT2G21260, AT2G21250"
OG0002952,Mp8g15300.1,"AT5G02240, AT2G37660"
OG0002955,"Mp3g12660.1, Mp3g12660.2, Mp3g12660.3","AT2G31670, AT1G51360"
OG0002956,Mp1g20630.1,AT2G07050
OG0002958,Mp6g16470.1,"AT2G20140, AT4G29040"
OG0002959,Mp4g01870.1,"AT5G11430, AT5G25520, AT2G25640"
OG0002960,Mp7g19710.1,"AT2G16940, AT5G09880"
OG0002961,Mp5g11490.1,AT2G22480
OG0002963,"Mp1g19280.1, Mp1g19280.2","AT2G04630, AT5G51940"
OG0002964,Mp3g00320.1,AT2G46230
OG0002965,Mp3g05200.1,"AT2G22400, AT4G40000"
OG0002966,"Mp2g11680.2, Mp2g11680.1","AT3G63000, AT2G47970"
OG0002967,"Mp3g02850.2, Mp3g02850.1","AT5G16290, AT2G31810"
OG0002968,Mp1g18090.1,"AT2G28370, AT2G37200"
OG0002969,Mp1g17640.1,"AT3G58990, AT2G43100, AT2G43090"
OG0002970,Mp2g19510.1,"AT3G59800, AT2G43795"
OG0002971,"Mp8g06380.1, Mp8g06380.2",AT2G39340
OG0002973,"Mp7g17280.1, Mp6g00340.1","AT2G44195, AT2G44200"
OG0002974,"Mp3g11260.2, Mp3g11260.3, Mp3g11260.5, Mp3g11260.1, Mp3g11260.4",AT2G26430
OG0002977,"Mp3g20080.2, Mp3g20080.1","AT2G38460, AT5G03570"
OG0002978,Mp7g14450.1,"AT4G35460, AT2G17420"
OG0002980,"Mp7g15600.1, Mp7g15600.2","AT2G47310, AT4G16280"
OG0002981,"Mp6g10910.1, Mp6g10910.2",AT2G23090
OG0002982,Mp4g12430.1,"AT2G24200, AT4G30910, AT4G30920"
OG0002983,"Mp3g15190.1, Mp1g08130.1","AT4G36850, AT2G41050, AT4G20100"
OG0002985,"Mp2g00710.3, Mp2g00710.1, Mp2g00710.2","AT2G47410, AT5G49430"
OG0002987,Mp3g01800.1,AT2G03800
OG0002988,Mp1g07450.1,AT2G26890
OG0002990,Mp1g28440.1,"AT1G73700, AT2G34360, AT5G52450"
OG0002992,"Mp5g11530.1, Mp5g11530.2","AT4G28370, AT2G20650"
OG0002993,"Mp6g10540.2, Mp6g10540.1",AT2G43180
OG0002994,Mp7g04810.1,"AT4G18260, AT2G30890"
OG0002995,Mp3g18390.1,"AT2G16800, AT4G35080"
OG0002996,"Mp1g26580.1, Mp1g26580.2",AT2G44060
OG0002998,"Mp7g03770.1, Mp7g03770.2","AT4G38280, AT2G45250"
OG0002999,Mp1g28540.1,"AT2G18730, AT4G30340, AT5G57690"
OG0003003,Mp1g21570.1,"AT5G58710, AT2G29960"
OG0003005,Mp6g20820.1,"AT2G21160, AT2G16595"
OG0003006,"Mp4g12680.1, Mp4g12680.2","AT2G44070, AT5G38640"
OG0003007,Mp4g07410.1,"AT2G23930, AT3G11500"
OG0003008,Mp6g03220.1,"AT1G07180, AT2G29990"
OG0003009,Mp1g05400.1,"AT2G33835, AT3G18640, AT2G10553"
OG0003010,Mp8g08700.1,"AT4G30470, AT2G23910"
OG0003011,Mp4g17990.1,"AT5G65687, AT2G22730, AT5G64500"
OG0003013,Mp4g07620.1,AT2G23140
OG0003014,"Mp2g00510.1, Mp5g03020.1","AT1G10610, AT2G16910"
OG0003016,"Mp5g02830.1, Mp5g02830.2","AT2G43810, AT3G59810"
OG0003018,Mp1g12710.1,"AT5G22790, AT2G37860"
OG0003021,"Mp3g23310.3, Mp3g23310.2, Mp3g23310.1, Mp3g23310.4","AT2G20000, AT3G16320"
OG0003025,Mp3g22800.1,"AT2G36670, AT1G08210, AT5G22850"
OG0003026,Mp3g13670.1,"AT3G57420, AT2G41770"
OG0003029,Mp4g03890.1,"AT3G60090, AT2G44340, AT3G58000, AT2G42140"
OG0003030,"Mp7g19670.1, Mp7g19670.2",AT2G40980
OG0003032,Mp3g14800.1,"AT4G38880, AT4G34740, AT2G16570"
OG0003033,Mp4g21460.1,AT2G39080
OG0003036,Mp6g17000.1,"AT1G30590, AT2G39240, AT2G34750"
OG0003037,Mp4g00340.1,"AT2G29390, AT1G07420"
OG0003038,"Mp8g15760.1, Mp8g14310.1","AT2G16250, AT4G39270"
OG0003039,Mp3g09010.1,"AT2G25140, AT5G15450"
OG0003040,Mp1g06890.1,"AT1G20960, AT2G42270"
OG0003041,Mp3g19470.1,AT2G15290
OG0003042,Mp3g11310.3,"AT2G44770, AT3G60260"
OG0003043,Mp1g13140.1,"AT2G19110, AT4G30110, AT4G30120"
OG0003044,Mp4g12040.1,"AT2G47010, AT1G17030"
OG0003045,Mp4g00970.1,AT2G42800
OG0003048,Mp8g08360.1,AT2G36310
OG0003049,Mp4g01070.1,AT2G20190
OG0003050,Mp8g06820.1,AT2G06530
OG0003051,"Mp7g15800.1, Mp6g21480.1, Mp6g21480.2","AT3G58750, AT2G42790"
OG0003052,"Mp3g05800.3, Mp3g05800.2, Mp3g05800.1",AT2G28910
OG0003053,"Mp1g06520.2, Mp1g06520.1","AT2G39960, AT4G04200"
OG0003055,Mp2g08720.1,"AT4G38930, AT2G21270"
OG0003057,"Mp2g10520.1, Mp2g10520.2","AT4G31080, AT2G24330"
OG0003058,Mp1g16350.1,"AT4G37110, AT2G23530"
OG0003061,Mp6g02550.1,"AT2G23820, AT1G26160"
OG0003062,"Mp4g07570.1, Mp4g07570.2","AT2G43920, AT2G43910, AT2G43940"
OG0003063,Mp3g15510.1,"AT4G18740, AT2G31150, AT1G06190"
OG0003065,Mp1g06020.1,"AT5G05670, AT2G18770"
OG0003066,Mp2g03260.1,"AT2G02955, AT1G42615, AT4G01335, AT4G01340"
OG0003070,Mp4g19980.1,"AT1G51420, AT2G35840, AT3G52340"
OG0003071,"Mp5g17960.1, Mp4g20280.1",AT2G20820
OG0003072,Mp8g03750.1,"AT3G50400, AT2G23540"
OG0003073,Mp3g10900.1,AT2G28100
OG0003074,Mp3g10570.1,"AT3G11940, AT2G37270"
OG0003075,"Mp7g13980.1, Mp7g15000.1","AT5G64120, AT5G39580, AT5G64110, AT2G41480"
OG0003076,"Mp7g18160.4, Mp7g18160.1, Mp7g18160.2, Mp7g18160.3",AT2G03150
OG0003077,"Mp2g24950.1, Mp2g24950.2","AT3G60210, AT2G44650"
OG0003079,Mp6g02740.1,"AT2G43160, AT3G59290"
OG0003082,Mp5g13000.1,"AT2G18100, AT4G36210"
OG0003083,Mp5g24230.1,"AT3G62650, AT2G47485"
OG0003084,"Mp7g13730.1, Mp7g15240.2, Mp7g15240.1","AT3G59990, AT2G44180"
OG0003087,Mp7g09200.1,AT2G20370
OG0003088,Mp1g19820.1,"AT3G59050, AT2G43020"
OG0003089,Mp3g06170.1,AT2G34560
OG0003090,Mp5g10470.1,"AT3G52750, AT2G36250"
OG0003091,Mp2g00750.1,"AT2G21600, AT4G39220"
OG0003092,"Mp2g13780.2, Mp2g13780.1","AT1G07270, AT2G29680"
OG0003094,Mp1g07820.1,AT2G44820
OG0003095,Mp4g06340.1,"AT2G39290, AT3G55030"
OG0003097,Mp4g01290.1,"AT4G16600, AT2G35710"
OG0003098,Mp1g28030.1,"AT5G57210, AT4G29950, AT2G19240"
OG0003099,Mp1g13680.1,"AT1G30825, AT2G33385"
OG0003101,"Mp6g19410.3, Mp6g19410.4, Mp6g19410.6, Mp6g19410.5, Mp6g19410.1",AT2G32980
OG0003102,"Mp4g07330.1, Mp4g07330.2",AT2G01060
OG0003103,Mp4g13070.1,"AT4G37670, AT2G22910"
OG0003105,"Mp8g07830.1, Mp8g07830.2","AT3G60750, AT2G45290"
OG0003107,"Mp6g00840.2, Mp6g00840.1","AT3G21530, AT2G48030"
OG0003108,Mp2g07980.1,"AT2G17370, AT1G76490"
OG0003110,Mp2g02850.1,"AT4G28490, AT1G28440"
OG0003111,"Mp5g04260.1, Mp5g04260.2","AT4G11260, AT4G23570"
OG0003112,"Mp4g07120.2, Mp4g07120.1","AT4G21590, AT4G21600, AT4G21585, AT1G68290"
OG0003114,Mp1g02190.1,AT4G16420
OG0003119,Mp7g08810.1,"AT4G10960, AT4G23920"
OG0003120,Mp2g26740.1,"AT4G33980, AT5G42900"
OG0003121,Mp2g26660.1,AT4G16146
OG0003123,Mp7g18120.1,AT4G14465
OG0003124,Mp5g02440.1,"AT4G14230, AT4G14240"
OG0003125,Mp8g04540.1,"AT4G05000, AT4G21560"
OG0003126,"Mp2g05070.2, Mp2g05070.1, Mp2g05070.3","AT4G09820, AT1G63650, AT5G41315"
OG0003127,Mp7g00690.1,"AT4G05450, AT4G21090"
OG0003128,Mp1g02290.1,"AT5G61640, AT5G07470, AT4G25130"
OG0003130,Mp1g00690.1,"AT4G33120, AT4G33110"
OG0003132,Mp1g12350.1,"AT4G37120, AT1G65660"
OG0003133,Mp2g04930.1,AT4G37470
OG0003135,Mp2g08760.1,"AT3G23770, AT4G14080, AT3G07320"
OG0003136,Mp5g15210.1,"AT5G50330, AT4G24810"
OG0003139,Mp2g14140.1,"AT4G02195, AT3G05710, AT5G26980"
OG0003140,Mp2g22520.1,"AT4G37280, AT1G02740"
OG0003141,Mp4g15610.1,"AT4G03610, AT1G30300"
OG0003142,"Mp1g23320.3, Mp1g23320.4, Mp1g23320.1, Mp1g23320.2","AT5G17900, AT4G08580"
OG0003143,Mp7g06010.1,"AT4G13110, AT1G03350"
OG0003144,Mp1g02040.1,AT4G36650
OG0003145,Mp6g13690.1,"AT4G27740, AT4G27745"
OG0003146,"Mp1g00710.2, Mp1g00710.1","AT4G37010, AT3G50360"
OG0003147,Mp2g09340.1,"AT4G22220, AT4G04080"
OG0003148,Mp5g22830.1,"AT4G37610, AT5G67480, AT1G05690"
OG0003151,Mp7g14660.1,AT4G15093
OG0003153,Mp1g17820.1,AT4G28990
OG0003154,"Mp8g05210.2, Mp8g05210.1",AT4G19210
OG0003155,Mp3g19520.1,AT4G17260
OG0003156,Mp4g09590.1,"AT3G22180, AT4G15080"
OG0003157,Mp2g17060.1,"AT1G73790, AT4G09550"
OG0003158,Mp3g25140.1,"AT4G12440, AT4G22570"
OG0003161,Mp1g25670.1,AT4G01150
OG0003164,"Mp4g23030.1, Mp4g23030.4, Mp4g23030.3, Mp4g23030.2",AT4G16440
OG0003165,Mp1g24190.1,"AT4G01840, AT5G46370, AT4G18160"
OG0003166,"Mp2g06500.2, Mp2g06500.3, Mp2g06500.1",AT4G15180
OG0003167,Mp6g20720.1,"AT4G19185, AT5G45370, AT3G45870"
OG0003168,Mp3g05980.1,"AT4G20280, AT1G20000"
OG0003171,Mp1g00360.1,AT4G38810
OG0003172,"Mp1g16810.1, Mp1g16810.2","AT4G00234, AT4G00290"
OG0003174,Mp6g04100.1,"AT4G26600, AT5G55920"
OG0003176,Mp5g13760.1,"AT1G02300, AT1G02305, AT4G01610"
OG0003177,"Mp4g10250.1, Mp4g10250.2","AT4G27585, AT5G54100"
OG0003178,Mp5g11250.1,"AT3G16700, AT4G15940"
OG0003179,Mp4g24000.1,"AT1G52343, AT4G32680"
OG0003180,Mp4g15580.1,"AT4G27760, AT5G53090, AT5G53100"
OG0003181,Mp4g00860.1,"AT4G18692, AT3G53342, AT3G53630"
OG0003182,Mp6g14670.1,"AT4G00850, AT1G01160"
OG0003183,"Mp6g01160.2, Mp6g01160.1",AT4G17330
OG0003187,"Mp3g19580.1, Mp3g09590.1, Mp3g09590.2",AT4G12240
OG0003187,Mp5g09680.1,AT5G52010
OG0003188,Mp4g05850.1,AT4G20260
OG0003190,Mp8g07790.1,"AT4G18590, AT3G52630"
OG0003191,"Mp1g14550.2, Mp1g14550.3, Mp1g14550.1","AT4G10430, AT1G33230"
OG0003193,"Mp2g19960.3, Mp2g19960.2, Mp2g19960.1",AT4G14385
OG0003195,Mp1g20920.2,"AT4G36120, AT1G19835, AT1G47900"
OG0003196,Mp7g19490.1,"AT5G55200, AT4G26780"
OG0003197,"Mp5g03940.1, Mp5g03940.2","AT4G25230, AT5G51450"
OG0003198,"Mp2g06170.4, Mp2g06170.1, Mp2g06170.2, Mp2g06170.3",AT4G16340
OG0003200,"Mp1g17090.1, Mp1g02610.1","AT4G22920, AT4G11910, AT4G11911"
OG0003201,"Mp1g12220.1, Mp1g12240.1",AT4G32400
OG0003202,"Mp1g25810.1, Mp1g25810.2, Mp1g25810.3","AT4G11380, AT4G23460"
OG0003203,Mp1g08370.1,AT4G34340
OG0003205,Mp8g12580.1,"AT1G12270, AT1G62740, AT4G12400"
OG0003207,Mp2g26810.1,AT4G36480
OG0003208,Mp1g13040.1,"AT4G18820, AT5G45720"
OG0003209,Mp7g12360.1,"AT5G20160, AT4G22380"
OG0003210,Mp4g16100.1,"AT5G36722, AT5G36810, AT4G30990"
OG0003211,Mp1g03900.1,"AT3G07590, AT4G02840"
OG0003213,"Mp5g17800.1, Mp4g08910.1, Mp1g06240.1","AT5G21950, AT4G33180"
OG0003215,"Mp5g18080.4, Mp5g18080.3, Mp5g18080.1, Mp5g18080.2",AT4G24710
OG0003217,"Mp6g09640.1, Mp6g09640.2","AT1G01710, AT4G00520"
OG0003220,Mp1g13100.1,AT4G10110
OG0003221,Mp7g03950.1,AT4G34490
OG0003222,Mp2g15010.1,"AT4G25170, AT5G61490"
OG0003224,Mp5g05510.1,"AT1G48570, AT1G70650"
OG0003225,"Mp5g18610.1, Mp5g18610.2","AT3G15970, AT1G52380"
OG0003226,Mp7g15370.1,"AT1G21720, AT1G77440"
OG0003227,Mp1g05060.1,"AT1G20480, AT5G38120, AT1G20500, AT1G20510"
OG0003228,"Mp1g15720.3, Mp1g15720.1, Mp1g15720.2","AT1G15220, AT1G52200"
OG0003231,"Mp5g22520.1, Mp5g22520.2",AT1G13030
OG0003234,"Mp8g03360.2, Mp8g03360.1","AT1G25210, AT1G24793, AT1G25145, AT1G25054"
OG0003235,"Mp3g23850.1, Mp3g23850.2, Mp3g23850.3, Mp3g23850.4",AT1G30845
OG0003236,Mp5g20970.1,"AT1G16460, AT1G79230"
OG0003237,"Mp6g02860.1, Mp6g02290.1","AT1G16300, AT1G79530"
OG0003240,Mp7g10240.1,AT1G29880
OG0003241,Mp1g08520.1,AT1G51450
OG0003242,Mp3g11860.1,AT1G02080
OG0003243,Mp3g09980.2,"AT1G10410, AT1G59650"
OG0003244,Mp2g04670.1,"AT1G23170, AT1G70770"
OG0003246,"Mp7g18780.2, Mp7g18780.1",AT1G59520
OG0003247,"Mp1g05550.2, Mp1g05550.1, Mp1g05550.3",AT1G29150
OG0003248,Mp1g08320.1,"AT1G58290, AT1G09940"
OG0003250,Mp1g27400.1,"AT1G53530, AT1G29960, AT1G23465"
OG0003251,Mp8g07780.1,"AT5G42960, AT1G45170"
OG0003252,"Mp2g09860.1, Mp2g09860.2, Mp2g09860.4, Mp2g09860.7, Mp2g09860.5",AT1G48050
OG0003254,Mp5g15800.1,AT1G60080
OG0003255,"Mp8g08420.2, Mp8g08420.1","AT1G66750, AT1G73690, AT1G18040"
OG0003256,Mp8g05230.1,"AT3G20010, AT1G11100, AT1G61140"
OG0003257,"Mp7g12970.3, Mp7g12970.2, Mp7g12970.4, Mp7g12970.1","AT1G30680, AT1G30660"
OG0003260,Mp7g15780.1,"AT5G66270, AT1G19860"
OG0003262,Mp4g16960.1,AT1G28510
OG0003264,Mp2g03810.1,"AT1G48240, AT3G17440"
OG0003265,Mp1g04490.1,"AT1G66860, AT5G38200"
OG0003266,Mp7g11160.1,"AT5G49950, AT1G34340"
OG0003267,Mp7g00890.1,"AT1G02960, AT1G02965"
OG0003269,Mp1g05110.1,AT1G16040
OG0003270,"Mp3g13880.1, Mp3g13880.2",AT1G09920
OG0003271,Mp1g13830.1,"AT1G75510, AT3G52270"
OG0003272,Mp3g01460.1,"AT1G67680, AT1G67650"
OG0003273,"Mp6g18210.1, Mp6g18210.2",AT1G52600
OG0003274,Mp3g02750.1,"AT1G12970, AT3G26500, AT5G05850, AT3G11330"
OG0003276,"Mp6g19200.2, Mp6g19200.1, Mp6g19200.3","AT1G78895, AT1G16825"
OG0003277,Mp3g17010.1,"AT3G20540, AT1G50840"
OG0003278,Mp2g07250.1,"AT1G75990, AT1G20200"
OG0003280,Mp6g15820.1,AT1G44760
OG0003282,"Mp7g07680.1, Mp7g11920.2, Mp7g11920.1",AT1G57680
OG0003283,"Mp3g17880.2, Mp3g17880.1","AT1G17470, AT1G72660"
OG0003284,"Mp5g19950.1, Mp2g15660.2","AT5G20710, AT1G31740"
OG0003285,Mp6g01400.1,"AT1G27310, AT1G27970"
OG0003287,"Mp5g12690.3, Mp5g12690.1, Mp5g12690.2","AT1G50140, AT3G19740"
OG0003288,Mp6g03410.1,"AT5G01400, AT1G27595"
OG0003289,"Mp5g17770.1, Mp3g15320.1","AT1G17730, AT1G73030"
OG0003290,Mp2g25790.1,"AT3G13445, AT1G55520"
OG0003291,Mp7g05230.1,"AT1G16890, AT1G78870"
OG0003292,Mp2g04470.1,AT1G29400
OG0003293,Mp4g17860.1,"AT5G05590, AT1G29410, AT1G07780"
OG0003294,Mp3g23040.1,"AT1G52730, AT3G15610, AT1G15470"
OG0003295,Mp1g15960.1,"AT1G10730, AT1G60780"
OG0003297,Mp1g19680.1,AT1G74410
OG0003298,Mp1g00100.1,"AT5G64600, AT1G22460"
OG0003299,Mp1g12990.1,"AT1G27390, AT5G40930, AT3G27080"
OG0003302,Mp1g00540.1,"AT1G20225, AT1G76020"
OG0003303,Mp2g24330.1,AT1G75560
OG0003304,"Mp6g18590.3, Mp6g18590.2","AT1G23820, AT1G70310"
OG0003305,Mp1g13590.1,"AT1G67300, AT1G79820"
OG0003307,Mp4g02150.1,"AT3G14290, AT1G53850"
OG0003308,"Mp2g20300.1, Mp1g21930.1","AT1G67560, AT1G72520, AT1G17420"
OG0003311,Mp7g06070.1,"AT1G13020, AT3G26400"
OG0003312,Mp5g09540.1,AT1G01630
OG0003313,Mp1g13860.1,"AT1G62330, AT1G11990, AT1G29200"
OG0003315,"Mp5g06810.1, Mp5g06810.2","AT1G28090, AT3G48830, AT5G23690"
OG0003316,Mp6g01720.1,"AT1G66740, AT5G38110"
OG0003317,"Mp1g25920.3, Mp1g25920.2, Mp1g25920.1",AT1G53580
OG0003318,Mp5g24280.1,AT1G35620
OG0003319,"Mp6g18380.2, Mp6g18380.3, Mp6g18380.1","AT5G37475, AT1G66070"
OG0003321,Mp5g18270.1,AT1G29690
OG0003323,"Mp3g08820.2, Mp3g08820.1",AT1G75660
OG0003324,Mp7g02220.1,AT1G74250
OG0003325,Mp6g06950.1,AT1G20110
OG0003326,Mp1g29260.1,AT1G47670
OG0003328,Mp7g10440.1,"AT1G09000, AT1G54960, AT3G06030"
OG0003329,Mp1g28300.1,"AT1G36160, AT1G36180"
OG0003330,"Mp6g15850.2, Mp6g15850.1",AT1G07110
OG0003331,"Mp2g14600.1, Mp2g14600.2, Mp5g17060.1, MpVg00520.1",AT1G79280
OG0003332,Mp5g13440.1,"AT1G78670, AT1G78660, AT1G78680"
OG0003333,Mp1g23490.1,"AT1G80620, AT1G15810"
OG0003335,Mp8g07140.1,"AT1G21780, AT1G55760"
OG0003336,"Mp7g02210.2, Mp7g02210.1",AT1G67840
OG0003337,Mp4g21410.1,"AT5G67570, AT1G30610"
OG0003338,"Mp7g02230.2, Mp7g02230.3, Mp7g02230.1",AT1G60460
OG0003341,Mp2g02140.1,"AT1G60070, AT1G23900"
OG0003342,"Mp4g21060.1, Mp5g11470.1",AT1G01730
OG0003343,Mp6g12140.1,"AT1G55370, AT1G64770"
OG0003344,Mp1g06380.1,AT1G71691
OG0003345,"Mp3g10720.1, Mp3g10720.2",AT1G80170
OG0003347,Mp1g14340.1,AT1G48790
OG0003348,Mp6g03370.1,"AT3G18030, AT1G48605"
OG0003349,Mp2g07290.1,"AT1G69030, AT1G26300"
OG0003352,"Mp4g02860.1, Mp4g02860.2, Mp4g02860.3",AT1G29850
OG0003353,Mp3g15360.1,AT1G11320
OG0003354,Mp7g08450.1,AT1G09700
OG0003356,Mp1g23640.1,AT1G32900
OG0003358,"Mp4g04310.1, Mp4g04310.3, Mp4g04310.2",AT1G17210
OG0003359,Mp3g23620.1,"AT5G41685, AT1G64220"
OG0003360,Mp5g13990.1,AT1G54500
OG0003361,"Mp3g06420.2, Mp3g06420.1","AT1G22920, AT1G71230"
OG0003362,Mp1g25660.1,AT1G08370
OG0003364,"Mp8g18560.1, Mp8g18560.2, Mp7g14980.1",AT1G77300
OG0003365,"Mp1g15760.1, Mp1g15760.2, Mp1g15780.1, Mp1g15780.2",AT1G08110
OG0003366,Mp2g20000.1,AT1G11720
OG0003369,Mp6g16060.1,"AT1G50920, AT1G10300"
OG0003370,"Mp2g23210.1, Mp2g23210.3, Mp2g23210.2",AT1G04690
OG0003371,"Mp6g00070.3, Mp6g00070.2, Mp6g00070.1, Mp6g00070.4",AT1G74910
OG0003372,"Mp6g14650.3, Mp6g14650.2, Mp6g14650.4, Mp6g14650.1, Mp2g24120.1, Mp2g24120.2",AT1G50030
OG0003373,"Mp1g10550.2, Mp1g10550.1","AT1G64385, AT3G51580"
OG0003374,Mp5g18350.1,AT1G14060
OG0003375,"Mp3g10530.1, Mp3g10520.2, Mp3g10520.1",AT1G11050
OG0003376,Mp3g13890.1,"AT5G44720, AT1G30910"
OG0003377,Mp1g15040.1,"AT1G28390, AT3G51990"
OG0003378,Mp1g11770.1,"AT1G75380, AT1G19660"
OG0003380,"Mp7g16670.1, Mp7g16670.2",AT1G09020
OG0003381,Mp3g09480.1,"AT1G50620, AT3G20280"
OG0003382,Mp2g13520.1,"AT5G15760, AT1G68590"
OG0003383,"Mp1g22060.1, Mp1g22060.2",AT1G58230
OG0003384,"Mp3g03820.1, Mp3g03820.2","AT1G51260, AT3G57650"
OG0003385,Mp1g12660.1,"AT1G74210, AT5G08030"
OG0003387,"Mp5g14180.2, Mp5g14180.5, Mp5g14180.1, Mp5g14180.4, Mp5g14180.3",AT1G50710
OG0003388,"Mp1g08380.1, Mp1g08380.2","AT3G10110, AT1G18320"
OG0003389,"Mp2g16170.2, Mp2g16170.1",AT1G30540
OG0003390,"Mp7g01470.1, Mp7g01470.2","AT5G49680, AT1G58250"
OG0003391,"Mp6g15330.1, Mp6g15330.2, Mp6g15330.3",AT1G61150
OG0003392,Mp1g26030.1,AT1G80530
OG0003393,"Mp7g01810.1, Mp7g01810.5, Mp7g01810.4, Mp7g01810.2, Mp7g01810.3",AT1G54390
OG0003394,Mp7g15030.1,AT1G64860
OG0003395,"Mp3g23800.4, Mp3g23800.2, Mp3g23800.3, Mp3g23800.1",AT1G52780
OG0003396,Mp1g14310.1,AT1G55620
OG0003397,Mp2g01300.1,"AT1G51980, AT3G16480"
OG0003398,"Mp6g00010.1, Mp6g00010.2, Mp6g00010.3","AT5G19070, AT1G03260"
OG0003401,Mp1g12250.1,"AT1G79020, AT1G16690"
OG0003402,Mp7g19740.1,"AT1G53280, AT3G14990"
OG0003403,"Mp6g07160.1, Mp6g04570.1","AT3G55490, AT1G19080"
OG0003405,Mp6g02570.1,AT1G34380
OG0003406,Mp1g04790.1,AT1G04170
OG0003409,Mp3g17930.1,"AT5G37800, AT1G66470"
OG0003410,"Mp8g06100.1, Mp7g15810.1",AT1G79830
OG0003411,Mp8g13820.1,"AT3G18820, AT1G52280, AT3G16100"
OG0003412,Mp3g04720.1,AT3G61050
OG0003414,Mp6g17400.1,"AT3G20500, AT3G52780"
OG0003415,"Mp3g18120.1, Mp3g18120.2",AT3G09920
